Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
12:00 AM - 01:00 AM,70,65,65,65,65,65,70
01:00 AM - 02:00 AM,70,65,65,65,65,65,70
02:00 AM - 03:00 AM,70,65,65,65,65,65,70
03:00 AM - 04:00 AM,70,65,65,65,65,65,70
04:00 AM - 05:00 AM,70,65,65,65,65,65,70
05:00 AM - 06:00 AM,70,65,65,65,65,65,70
06:00 AM - 07:00 AM,70,65,65,65,65,65,70
07:00 AM - 08:00 AM,70,65,65,65,65,65,70
08:00 AM - 09:00 AM,70,70,70,70,70,75,75
09:00 AM - 10:00 AM,70,70,70,70,70,75,75
10:00 AM - 11:00 AM,70,70,70,70,70,75,75
11:00 AM - 12:00 PM,70,70,70,70,70,75,75
12:00 PM - 01:00 PM,70,70,70,70,70,75,75
01:00 PM - 02:00 PM,70,70,70,70,70,75,75
02:00 PM - 03:00 PM,70,70,70,70,70,75,75
03:00 PM - 04:00 PM,70,70,70,70,70,75,75
04:00 PM - 05:00 PM,70,70,70,70,70,75,75
05:00 PM - 06:00 PM,70,70,70,70,70,75,75
06:00 PM - 07:00 PM,70,70,70,70,70,75,75
07:00 PM - 08:00 PM,65,65,65,65,70,75,75
08:00 PM - 09:00 PM,65,65,65,65,70,75,75
09:00 PM - 10:00 PM,65,65,65,65,70,75,75
10:00 PM - 11:00 PM,65,65,65,65,70,75,75
11:00 PM - 12:00 AM,65,65,65,65,70,75,75
